,_url,birth_year,height,avg_pos,num_races
146,jorge-azanza,1982,185.0,59.1764705882353,34
147,peter-mazur,1982,177.0,69.36538461538461,104
149,santiago-perez,1977,179.0,71.32967032967034,91
150,rein-taaramae,1987,186.0,66.79503105590062,161
151,sebastien-chavanel,1981,183.0,71.94818652849742,386
152,andrei-nechita,1988,183.0,78.36123348017621,227
153,tadej-pogacar,1998,176.0,64.1219512195122,451
155,mario-de-sarraga,1980,178.8,44.64009111617312,439
156,kevin-seeldraeyers,1986,174.0,65.94299674267101,614
157,daniele-righi,1976,180.0,50.44976076555024,627
158,felix-gall,1998,180.0,68.83286908077994,359
161,joseba-lopez-cuesta,2000,182.0,61.71848739495798,238
162,emils-liepins,1992,175.0,49.188081936685286,537
163,vladimir-karpets,1980,190.0,59.59101123595506,445
165,eric-berthou,1980,187.0,79.45806451612903,155
166,benoit-joachim,1976,188.0,77.6890243902439,328
169,stef-clement,1982,181.0,73.86348122866895,293
171,koen-beeckman,1973,177.0,73.73885350318471,314
172,daniel-musiol,1983,182.0,77.62921348314607,178
174,hugo-page,2001,185.0,85.54166666666667,432
175,axel-mariault,1998,169.0,66.94954128440367,436
179,tony-martin,1985,185.0,65.06666666666666,255
180,jakub-kaczmarek,1993,181.0,78.36666666666666,570
182,matteo-bono,1983,171.0,93.12760416666669,384
183,igor-anton,1983,173.0,74.18139534883721,215
184,raymond-kreder,1989,177.0,71.55592105263158,304
185,pierre-gautherat,2003,177.0,74.6025,400
187,sebastian-schonberger,1994,181.0,64.7704081632653,196
188,pierrick-fedrigo,1978,172.0,67.29152542372881,295
189,giampaolo-cheula,1979,178.0,92.90151515151516,264
190,angel-madrazo,1988,171.0,85.1082474226804,194
191,antonio-tiberi,2001,182.0,91.41776937618148,529
192,gorazd-stangelj,1973,182.0,79.68947368421053,570
194,markus-eichler,1982,185.0,66.15849056603774,530
195,torsten-hiekmann,1980,183.0,80.81171548117155,239
196,jelle-vanendert,1985,184.0,92.41980198019802,505
197,sven-vandousselaere,1988,181.0,83.89242053789731,409
199,fabio-sacchi,1974,183.0,77.8218954248366,612
200,pascal-eenkhoorn,1997,185.0,94.12926391382406,557
201,stefan-schumacher,1981,183.0,77.88739946380697,373
202,daniele-pietropolli,1980,174.0,84.60992907801419,282
203,arnaud-gerard,1984,184.0,95.56976744186046,172
204,gonzalo-rabunal-rios,1984,180.0,93.57839721254356,287
205,thomas-bonnet,1998,175.0,82.72911392405064,395
206,isaac-canton,1996,180.0,91.4013452914798,446
209,steven-caethoven,1981,176.0,86.74893617021277,235
210,jose-maria-jimenez,1971,187.0,110.84210526315788,76
211,mattia-cattaneo,1990,184.0,80.76294277929155,367
212,james-knox,1995,173.0,80.16616314199396,331
214,bjarne-riis,1964,184.0,64.31566820276498,434
215,jose-alberto-benitez-roman,1981,180.0,88.3019801980198,202
216,roberto-sgambelluri,1974,175.0,54.36293436293436,518
219,enrico-franzoi,1982,178.0,60.79365079365079,315
220,manuel-cardoso,1983,179.0,118.58928571428572,56
221,mickael-delage,1985,180.0,81.07986688851913,601
222,bruno-cenghialta,1962,184.0,100.24050632911391,79
223,johan-bruyneel,1964,182.0,75.61507936507937,252
224,dorian-godon,1996,191.0,101.48387096774194,186
226,julien-stassen,1988,182.0,89.61813186813187,364
227,markus-hoelgaard,1994,188.0,83.22485207100591,169
230,zico-waeytens,1991,180.0,87.56395348837209,172
231,twan-castelijns,1989,180.0,95.42857142857144,196
232,mattia-gavazzi,1983,171.0,74.31088082901555,386
233,david-kopp,1979,184.0,55.84592145015106,331
234,giairo-ermeti,1981,174.0,54.760757314974185,581
236,paul-van-hyfte,1972,177.0,69.61919504643963,323
238,frederik-rodenberg,1998,190.0,87.51851851851852,378
240,inaki-isasi-flores,1977,181.0,67.74396135265701,207
241,lennert-van-eetvelt,2001,176.0,53.45783132530121,332
242,lars-boven,2001,172.0,89.50200803212851,249
243,christophe-laborie,1986,181.0,54.08453608247423,485
244,tobias-foss,1997,184.0,79.68947368421053,570
245,tomas-konecny,1973,178.0,58.66101694915254,177
247,ben-zwiehoff,1994,182.0,42.07538802660754,451
248,thomas-pidcock,1999,170.0,86.07792207792208,308
249,gerhard-trampusch,1978,173.0,107.79285714285714,140
250,alessandro-proni,1982,183.0,49.48022598870057,531
252,maryan-hary,1980,185.0,77.6890243902439,328
253,alessandro-spezialetti,1975,179.0,68.52959501557632,642
256,antoine-demoitie,1990,180.0,97.79591836734694,196
257,pieter-mertens,1980,181.0,94.35416666666669,192
258,milan-menten,1996,174.0,85.15172413793104,290
259,mart-ojavee,1981,183.0,48.19622641509434,530
