birth_year,nationality,BMI,Cluster,Distance_to_Centroid
1965.0,France,22.34029706557179,0,1.1135692835920272
1996.0,Netherlands,19.31636852271773,2,1.0071230546379226
1995.0,Belgium,21.158854166666668,3,0.9803761182279433
1997.0,Spain,18.80920625149619,2,1.0160931607914727
1998.0,Spain,21.38593635289987,3,1.0651136926886098
1988.0,United States,19.599243441791614,2,1.086931359737862
1984.0,Netherlands,19.80251736111111,4,1.1646746919584317
1980.0,Spain,19.59183673469388,4,1.0311725833012664
1970.0,Italy,20.515086478979924,4,1.171101722840455
1980.0,France,21.672110130948383,0,1.1082198880083671
1982.0,Spain,22.28259210646805,5,1.1876278478762243
1985.0,France,20.9572742022715,4,1.0885529661036544
1995.0,Poland,21.469150482230148,3,1.1175181153883826
1994.0,France,20.061728395061728,3,1.05586097645704
1951.0,France,23.423557406305772,1,1.119162847505795
1973.0,Germany,20.41522491349481,4,1.1329659134751504
1950.0,Netherlands,24.515595463137995,1,1.6612703667891624
1979.0,Australia,23.456790123456788,6,1.057379741061245
1986.0,United States,19.576333089846603,2,1.1534460073561519
1991.0,Italy,20.6758034026465,3,0.9565692335461249
1974.0,Poland,23.12406058503873,6,1.3728244951883604
1980.0,Italy,20.45288531775018,4,0.9050723077649635
1991.0,France,19.390581717451525,2,0.9471439068358505
1998.0,Denmark,22.28259210646805,5,1.2167641850157496
1982.0,Switzerland,20.91070815517618,4,1.117494366151446
2001.0,Great Britain,18.314459265590184,2,1.3675019383682152
1964.0,Italy,21.47708663319821,0,1.144528940693326
1969.0,Colombia,22.58955143605005,0,1.1772626873451215
1991.0,South Africa,19.94459833795014,2,1.155059674212159
1972.0,France,21.877551020408163,0,0.8899724140956895
1996.0,Australia,20.679012345679013,3,1.0205611871217708
1975.0,Italy,22.530864197530864,0,1.0261261067354859
1991.0,Argentina,19.71332152761536,2,1.0973903932597036
1997.0,Belgium,21.88365650969529,5,1.0470182349627006
1988.0,Russia,19.4707778735357,2,1.0980595312979262
1975.0,France,20.75638716766888,4,0.9826703352604516
1949.0,New Zealand,21.38394199605733,1,1.408235006394071
1990.0,Great Britain,22.835009827725745,5,1.1380090037101518
1989.0,Colombia,17.75568181818182,2,1.5006147519815247
1964.0,Lithuania,24.151672503320853,1,1.852792888552975
1992.0,Belgium,20.66115702479339,3,0.9709066286681126
1995.0,Denmark,21.604938271604937,5,1.1619566319884267
1985.0,Spain,21.22448979591837,4,1.1466539897612742
1999.0,Norway,21.615746890472163,3,1.2262962250756484
1998.0,Belgium,19.918367346938776,2,1.1584882479428324
1999.0,Portugal,20.98765432098765,3,1.0820105190625717
1962.0,Italy,22.59814049586777,1,1.2880961452779625
2002.0,Belgium,20.66115702479339,3,1.1392008216972973
1980.0,Belgium,22.71468144044321,5,1.25465532763853
1991.0,Austria,22.724403484408533,5,1.1243773912450372
1993.0,Great Britain,21.146319909102385,3,1.0348725777870174
1991.0,Netherlands,22.15910864205237,5,0.9829660301880226
1985.0,Netherlands,22.54595907041276,5,1.1023795774896552
1990.0,Australia,22.724403484408533,5,1.0872210912368554
2002.0,Spain,19.40935829675416,2,1.175988970146245
1982.0,Spain,19.86851716581446,4,0.9557299485007617
1982.0,Poland,23.301094832264035,6,1.098064287325519
1998.0,Colombia,20.820939916716245,3,1.03251654161856
1957.0,Italy,21.06162815542871,1,1.570743680366346
1977.0,Spain,19.03810742486189,4,1.3185933011586175
1987.0,Estonia,19.65545149728292,2,1.1730349602354302
1981.0,France,22.99262444384723,6,1.1933930623372409
1988.0,Romania,21.20099137030069,3,1.1870646676111356
1998.0,Slovenia,21.306818181818183,3,1.1256873959434524
1975.0,Australia,22.53061224489796,0,1.1368574873214237
1990.0,Italy,21.773842357381334,5,0.9463666512824649
1980.0,Spain,21.06162815542871,4,0.9781639625409405
1986.0,Belgium,19.817677368212443,4,1.1893199248089843
1976.0,Italy,21.604938271604937,0,0.9590702057063591
1998.0,Austria,20.37037037037037,3,1.1150930641927879
1998.0,Belgium,22.1606648199446,5,1.0801327445372995
1997.0,Portugal,20.1459051921492,3,1.1407375645109963
2000.0,Spain,19.925129815239703,2,1.1872229274462176
1992.0,Latvia,21.877551020408163,5,1.0634251702257818
1980.0,Russia,21.88365650969529,0,1.2071726517026709
1996.0,Luxembourg,21.32963988919668,3,1.1053887582011426
1980.0,France,20.58966513197403,4,0.898707140333777
1942.0,Colombia,22.093170054286077,1,1.3356572918702294
1976.0,Luxembourg,23.20054323223178,6,1.2845408470424078
1982.0,France,18.671926364234057,2,1.3526360131447077
1947.0,Belgium,22.839506172839503,1,0.9038343358592735
1982.0,Netherlands,20.1459051921492,4,1.0470814058258675
1940.0,Sweden,20.99605274208449,1,1.815251337276082
1973.0,Belgium,21.06674327300584,0,1.1251990860346848
1983.0,Germany,21.132713440405748,4,1.1973567800190923
1967.0,Sweden,22.79035792549306,0,1.2940603829979274
2001.0,France,20.74506939371804,3,1.0502329921650762
1998.0,France,20.307412205454995,3,1.0172584514587801
1985.0,Poland,22.25690831309978,5,1.0993071498276958
1994.0,Colombia,19.494328922495274,2,0.9958775548902503
1988.0,Belgium,21.606648199445985,5,0.9489997986772346
2002.0,Germany,18.009218277830346,2,1.5411660450217257
1985.0,Germany,21.91380569758948,5,1.0809193759483844
1993.0,Poland,20.1459051921492,3,1.1263963871520304
1999.0,Italy,18.991964937910883,2,1.0574175093636617
1983.0,Italy,20.519134092541297,4,0.9596568305883453
1983.0,Spain,21.38394199605733,4,1.1590567264156146
1989.0,Netherlands,22.34351559258195,5,0.994816741419272
2003.0,France,22.34351559258195,5,1.4107652584168335
1987.0,France,20.65414214576732,3,1.0839721623094714
1994.0,Austria,19.53542321662953,2,1.0433716386779908
1978.0,France,22.30935640886966,0,1.0557946956729902
1976.0,Colombia,22.20408163265306,0,1.0986614092465223
1979.0,Italy,19.56823633379624,4,1.087694403637976
1988.0,Spain,20.86111966075032,3,1.0649637692854848
2001.0,Italy,18.717546190073666,2,1.1919382457150718
1973.0,Slovenia,21.132713440405748,0,1.1755791029456375
1969.0,Latvia,22.59814049586777,0,1.1833763960403614
1982.0,Germany,22.79035792549306,6,1.248248750527521
1980.0,Germany,20.902385858042937,4,1.0871035214847868
1985.0,Belgium,18.312854442344044,2,1.3442734779344474
1988.0,Belgium,21.672110130948383,5,0.9306481995497459
1965.0,Italy,21.132713440405748,0,1.1953496701890527
1974.0,Italy,20.305174833527424,4,0.9948844952424762
1997.0,Netherlands,20.45288531775018,3,1.0227185466812008
1981.0,Germany,21.20099137030069,4,1.1893650049744073
1980.0,Italy,20.147971991015982,4,0.9219526224445399
1985.0,Canada,20.61925365062196,4,1.1598113431348853
1984.0,France,20.6758034026465,4,0.9917172249007573
1984.0,Spain,20.061728395061728,4,0.9625316311605077
1998.0,France,20.44081632653061,3,0.9852102077184317
1996.0,Spain,20.061728395061728,3,1.0934175307588754
1948.0,France,21.877551020408163,1,1.1438964859215026
1948.0,Belgium,20.83070319404116,1,1.5963264805121795
1981.0,Belgium,21.62964876033058,5,1.179276820829418
1971.0,Spain,20.0177299894192,4,1.1053899786162873
1990.0,Italy,19.78969754253308,2,1.031182908010745
1995.0,Great Britain,19.37919743392696,2,1.0055808102253123
1996.0,France,17.915089237425637,2,1.3703415752172432
1964.0,Denmark,20.97117202268431,0,1.390561609505683
1981.0,Spain,20.37037037037037,4,0.8555336394829329
1974.0,Italy,20.571428571428573,4,1.0014429140511993
1977.0,Czech Republic,21.55594748187341,0,1.1301470818901367
1977.0,South Africa,22.724403484408533,0,1.2701248921065103
1999.0,France,18.792450804048432,2,1.101099936164602
1982.0,Italy,22.093170054286077,5,1.1157817687787481
1983.0,Portugal,21.84700852033332,5,1.1919119977330628
1985.0,France,21.604938271604937,5,1.0639313630513947
1962.0,Italy,21.56190926275992,0,1.2321853522055997
1964.0,Belgium,21.434609346697258,0,1.2017021515056243
1996.0,France,20.010416381129904,3,1.0845956642519952
1996.0,Norway,21.42339391661521,3,1.1089001765240274
1988.0,Belgium,19.925129815239703,2,1.1571612377439844
1994.0,Norway,20.937075599818925,3,1.0090967221038154
1944.0,Switzerland,20.902385858042937,1,1.735716454852696
1985.0,Italy,19.197896120973045,2,1.1226141850921987
1991.0,Belgium,20.679012345679013,3,0.988611163001682
1989.0,Netherlands,21.604938271604937,5,1.0531899220165366
1993.0,Morocco,20.37037037037037,3,1.087194166462556
1983.0,Italy,23.938989774631512,6,0.9271572577237934
1979.0,Germany,20.08506616257089,4,1.0426300875941155
1981.0,Italy,19.817677368212443,4,1.0080641159984187
1989.0,Canada,23.54788069073783,6,1.1345965809534053
1945.0,Netherlands,23.04002019946976,1,1.0846589026889821
1972.0,Belgium,22.34351559258195,0,1.0006873198642925
1989.0,Netherlands,19.95728440880922,2,1.154492884417723
1998.0,Denmark,20.221606648199447,3,1.136355990466039
1988.0,Belgium,22.23098712754133,5,0.8728262840237587
1977.0,Spain,21.36686914318855,0,1.0631147311528149
1980.0,Netherlands,23.21191715131109,6,1.09865758495414
1993.0,New Zealand,20.91070815517618,3,1.0307678248081482
2001.0,Belgium,20.33832644628099,3,1.1461225224536238
2001.0,Netherlands,20.9572742022715,3,1.1106722662468433
1986.0,France,20.45114617990904,4,1.0479187258467977
1997.0,Norway,21.85727788279773,5,1.1949164729696338
1973.0,Czech Republic,21.146319909102385,0,1.1691432998070297
1989.0,United States,20.45288531775018,3,1.1237458463296046
1977.0,France,20.9572742022715,4,0.9922250403106851
1994.0,Germany,18.41565028378215,2,1.1758067998322659
1999.0,Great Britain,20.06920415224914,3,1.203384721869093
1978.0,Austria,20.04744562130375,4,1.0659044838239242
1982.0,Italy,20.305174833527424,4,0.9335668466983815
1986.0,Spain,20.58966513197403,4,1.0217388933703824
1980.0,France,19.86851716581446,4,0.967835199052882
1975.0,Italy,20.91070815517618,4,1.0345587592020524
1994.0,Belgium,19.927728770326283,2,1.089260785805777
1987.0,Russia,22.437673130193907,5,1.054406826029728
1990.0,Belgium,21.29629629629629,5,1.0505165375092944
1980.0,Belgium,20.45114617990904,4,0.9623294640235205
1996.0,Belgium,22.46003435064077,5,1.0196159823111393
2002.0,New Zealand,21.62162162162162,3,1.3383840765919994
1981.0,Estonia,23.888440980620494,6,1.0192416808581861
1978.0,Australia,23.148148148148145,6,1.1737039024840603
1985.0,Russia,20.97117202268431,4,1.2132136867497694
1981.0,Spain,20.305174833527424,4,0.8578330955664989
1971.0,Italy,20.902385858042937,0,1.1482438101948733
1994.0,Belgium,25.165146272412706,6,1.5788564994596495
1980.0,Germany,22.981901752370007,6,1.1857039990292373
1997.0,Luxembourg,19.59784155279337,2,1.0970544721941031
1970.0,Great Britain,19.32133800265668,4,1.504962736637548
2002.0,Netherlands,22.03449905482041,5,1.390136069611194
1975.0,Italy,20.679012345679013,4,0.9843003427956903
