_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
yukiya-arashiro,Yukiya  Arashiro,1984,170.0,Japan,106.63054187192118,203,22.145328719723185,Asia
takashi-miyazawa,Takashi  Miyazawa,1978,164.0,Japan,35.97489539748954,239,22.679952409280194,Asia
assan-bazayev,Assan  Bazayev,1981,177.0,Kazakhstan,141.4,5,19.789970953429727,Asia
cheng-ji,Cheng  Ji,1987,178.0,China,82.39393939393939,66,21.146319909102385,Asia
vadim-pronskiy,Vadim  Pronskiy,1998,173.0,Kazakhstan,98.57142857142857,49,19.37919743392696,Asia
dmitriy-muravyev,Dmitriy  Muravyev,1979,189.0,Kazakhstan,71.12844036697248,109,20.99605274208449,Asia
aleksey-lutsenko,Alexey  Lutsenko,1992,174.0,Kazakhstan,45.33561643835616,292,24.441802087462015,Asia
andrei-kivilev,Andrei  Kivilev,1973,176.0,Kazakhstan,62.857142857142854,161,20.66115702479339,Asia
yuriy-natarov,Yuriy  Natarov,1996,186.0,Kazakhstan,40.36842105263158,19,19.65545149728292,Asia
meiyin-wang,Meiyin  Wang,1988,182.0,China,66.45421245421245,546,21.132713440405748,Asia
amir-zargari,Amir  Zargari,1980,176.0,Iran,92.03846153846153,130,20.015495867768596,Asia
valeriy-dmitriyev,Valeriy  Dmitriyev,1984,175.0,Kazakhstan,67.46938775510205,49,22.53061224489796,Asia
gang-xu,Gang  Xu,1984,187.0,China,47.913333333333334,600,19.73176241814178,Asia
guy-sagiv,Guy  Sagiv,1994,180.0,Israel,82.60183066361556,437,20.98765432098765,Asia
maxat-ayazbayev,Maxat  Ayazbayev,1992,189.0,Kazakhstan,47.96743295019157,522,20.99605274208449,Asia
sergey-renev,Sergey  Renev,1985,184.0,Kazakhstan,72.6070796460177,565,20.085066162570886,Asia
hideto-nakane,Hideto  Nakane,1990,170.0,Japan,76.09473684210526,95,19.031141868512112,Asia
vadim-kravchenko,Vadim  Kravchenko,1969,178.0,Kazakhstan,74.27570093457943,428,20.45196313596768,Asia
valentin-iglinskiy,Valentin  Iglinskiy,1984,178.0,Kazakhstan,99.63636363636364,187,21.461936624163616,Asia
alexandr-dyachenko,Alexandr  Dyachenko,1983,179.0,Kazakhstan,92.4,25,20.286507911738084,Asia
kohei-uchima,Kohei  Uchima,1988,170.0,Japan,110.50326797385621,153,21.79930795847751,Asia
kyoshi-miura,Kyoshi  Miura,1961,167.0,Japan,72.7062937062937,143,24.023808670084982,Asia
dmitriy-fofonov,Dmitriy  Fofonov,1976,175.0,Kazakhstan,51.46534653465346,202,21.224489795918366,Asia
ruslan-tleubayev,Ruslan  Tleubayev,1987,178.0,Kazakhstan,86.75872093023256,344,22.093170054286073,Asia
nurbergen-nurlykhassym,Nurbergen  Nurlykhassym,2000,180.0,Kazakhstan,86.69565217391305,253,20.061728395061728,Asia
fumiyuki-beppu,Fumiyuki  Beppu,1983,180.0,Japan,88.3019801980198,202,21.296296296296294,Asia
roman-kireyev,Roman  Kireyev,1987,177.0,Kazakhstan,41.80365296803653,438,21.06674327300584,Asia
andrey-kashechkin,Andrey  Kashechkin,1980,185.0,Kazakhstan,95.52459016393442,305,20.45288531775018,Asia
bakhtiyar-kozhatayev,Bakhtiyar  Kozhatayev,1992,172.0,Kazakhstan,29.126903553299492,394,20.9572742022715,Asia
roy-goldstein,Roy  Goldstein,1993,174.0,Israel,79.33210332103322,271,20.808561236623067,Asia
arman-kamyshev,Arman  Kamyshev,1991,182.0,Kazakhstan,95.85401459854015,137,20.227025721531216,Asia
yevgeniy-gidich,Yevgeniy  Gidich,1996,179.0,Kazakhstan,68.00970873786407,103,21.534908398614277,Asia
yukihiro-doi,Yukihiro  Doi,1983,169.0,Japan,36.53187613843352,549,20.307412205454995,Asia
djamolidine-abduzhaparov,Djamolidine  Abduzhaparov,1964,174.0,Uzbekistan,40.83116883116883,308,23.781212841854934,Asia
miyataka-shimizu,Miyataka  Shimizu,1981,164.0,Japan,103.76543209876543,162,22.308149910767405,Asia
artyom-zakharov,Artyom  Zakharov,1991,179.0,Kazakhstan,77.15384615384616,52,21.847008520333322,Asia
yoshiyuki-abe,Yoshiyuki  Abe,1969,175.0,Japan,40.865546218487395,119,21.877551020408163,Asia
yevgeniy-nepomnyachshiy,Yevgeniy  Nepomnyachshiy,1987,174.0,Kazakhstan,79.03964757709251,227,20.478266613819528,Asia
shinichi-fukushima,Shinichi  Fukushima,1971,171.0,Japan,110.32758620689656,58,21.20310522895934,Asia
andrey-zeits,Andrey  Zeits,1986,189.0,Kazakhstan,44.470483005366724,559,20.43615800229557,Asia
genki-yamamoto,Genki  Yamamoto,1991,163.0,Japan,42.20253164556962,711,23.335466144755166,Asia
serguei-yakovlev,Serguei  Yakovlev,1976,175.0,Kazakhstan,90.75167785234899,149,22.857142857142858,Asia
dmytro-grabovskyy,Dmytro  Grabovskyy,1985,185.0,Israel,68.50835322195704,419,20.16070124178232,Asia
rafael-nuritdinov,Rafael  Nuritdinov,1977,180.0,Uzbekistan,96.4,110,20.98765432098765,Asia
kam-po-wong,Kam-Po  Wong,1973,173.0,Hongkong,101.5754716981132,106,21.71806608974573,Asia
gerard-rue,Gérard  Rué,1965,182.0,France,48.15129151291513,271,22.34029706557179,Europe
jan-maas,Jan  Maas,1996,189.0,Netherlands,47.23972602739726,146,19.31636852271773,Europe
nathan-van-hooydonck,Nathan Van Hooydonck,1995,192.0,Belgium,16.145833333333332,48,21.158854166666668,Europe
jose-felix-parra,José Félix  Parra,1997,171.0,Spain,33.395833333333336,144,18.80920625149619,Europe
manuel-penalver,Manuel  Peñalver,1998,177.0,Spain,29.43548387096774,62,21.38593635289987,Europe
joost-van-leijen,Joost van Leijen,1984,192.0,Netherlands,45.51977401129943,177,19.80251736111111,Europe
jose-angel-gomez-marchante,José Ángel  Gómez Marchante,1980,175.0,Spain,25.095238095238095,42,19.591836734693878,Europe
giuseppe-guerini,Giuseppe  Guerini,1970,178.0,Italy,64.50434782608696,230,20.515086478979924,Europe
rony-martias,Rony  Martias,1980,181.0,France,49.25,180,21.672110130948383,Europe
eloy-teruel,Eloy  Teruel,1982,181.0,Spain,50.411764705882355,51,22.282592106468055,Europe
julien-el-fares,Julien El Fares,1985,172.0,France,51.611111111111114,36,20.9572742022715,Europe
michal-paluta,Michał  Paluta,1995,174.0,Poland,26.441176470588236,102,21.469150482230148,Europe
fabien-grellier,Fabien  Grellier,1994,180.0,France,39.029411764705884,102,20.061728395061728,Europe
