startlist_quality,year,points,length,birth_year,position,cyclist_age,delta,stage,race,profile,season,nationality,cyclist,Cluster
1663.6494407399123,2014.2992041299203,99.82953323295386,175510.55961855623,1984.9396285939629,87.56055065605509,29.359575535957543,604.7118376711808,stage-8,tour-de-france,1.0,Summer,France,sylvain-chavanel,0
904.7833331772238,2016.515300244467,65.6194561786432,177969.09425550082,1990.559950544665,82.29410938246397,25.955349699801584,543.8019913265758,stage-2,giro-d-italia,2.0,Spring,Italy,louis-meintjes,1
965.4496200234412,2012.779235509849,258.62036371887064,238183.30711936223,1984.1209497523537,57.315512873832674,28.65828575749556,353.7601043517726,result,la-fleche-wallone,2.0,Spring,Belgium,greg-van-avermaet,2
993.866288658173,2003.6202271192296,77.11428212417867,176862.2960089213,1975.6312218260648,68.43132234909767,27.989005293165953,326.09089481206325,stage-3,vuelta-a-espana,1.0,Fall,Spain,alessandro-petacchi,3
1651.6452163284023,1995.8572665461306,98.94114950724268,175988.68318520978,1967.1087881025762,72.61740813364233,28.74847844355599,429.3891619343508,stage-6,tour-de-france,1.0,Summer,France,sean-kelly,4
932.0473475220208,2014.5287643753175,65.40079141534146,179741.1831384566,1981.165647627815,83.37971448592354,33.36311674750355,493.59632321622604,stage-2,giro-d-italia,2.0,Spring,Italy,luis-leon-sanchez,5
988.0644393931408,2012.5395411534598,66.4362742506759,23208.488132367085,1983.8878257651847,77.18755616641116,28.6517153882751,161.9497806206047,prologue,giro-d-italia,1.0,Spring,Italy,luis-leon-sanchez,6
984.1111111111111,2007.888888888889,81.07407407407408,203752.5925925926,1979.5777777777778,115.60740740740741,28.31111111111111,40252.65185185189,stage-19,giro-d-italia,5.0,Spring,Italy,addy-engels,7
