_url,stage,race,date,points,length,climb_total,profile,startlist_quality,year
dauphine/1975/stage-6,stage-6,dauphine,1975-06-08,50,185000,,,889,1975
dauphine/1975/stage-7a,stage-7a,dauphine,1975-06-08,50,153000,,,889,1975
dauphine/1975/stage-7b,stage-7b,dauphine,1975-06-09,50,30000,,,889,1975
dauphine/1977/prologue,prologue,dauphine,1977-05-30,50,5000,,,809,1977
dauphine/1977/stage-1,stage-1,dauphine,1977-05-31,50,228000,,,809,1977
dauphine/1977/stage-2,stage-2,dauphine,1977-06-01,50,204000,,,809,1977
dauphine/1977/stage-3,stage-3,dauphine,1977-06-02,50,186000,,,809,1977
dauphine/1977/stage-4a,stage-4a,dauphine,1977-06-03,50,119000,,,809,1977
dauphine/1977/stage-4b,stage-4b,dauphine,1977-06-03,50,129000,,,809,1977
dauphine/1977/stage-5,stage-5,dauphine,1977-06-04,50,214000,,,809,1977
dauphine/1977/stage-6,stage-6,dauphine,1977-06-05,50,192000,,,809,1977
dauphine/1977/stage-7a,stage-7a,dauphine,1977-06-06,50,89000,,,809,1977
dauphine/1977/stage-7b,stage-7b,dauphine,1977-06-06,50,36500,,,809,1977
dauphine/1979/prologue,prologue,dauphine,1979-05-21,50,3600,,,634,1979
dauphine/1983/prologue,prologue,dauphine,1983-05-30,50,4500,,,621,1983
dauphine/1983/stage-1,stage-1,dauphine,1983-05-31,50,186000,,,621,1983
dauphine/1983/stage-2a,stage-2a,dauphine,1983-06-01,50,54000,,,621,1983
dauphine/1983/stage-2b,stage-2b,dauphine,1983-06-01,50,75000,,,621,1983
dauphine/1983/stage-3,stage-3,dauphine,1983-06-02,50,228000,,,621,1983
dauphine/1983/stage-4,stage-4,dauphine,1983-06-03,50,155000,,,621,1983
dauphine/1983/stage-5,stage-5,dauphine,1983-06-04,50,243000,,,621,1983
dauphine/1983/stage-6,stage-6,dauphine,1983-06-05,50,190000,,,621,1983
dauphine/1983/stage-7a,stage-7a,dauphine,1983-06-06,50,93000,,,621,1983
dauphine/1983/stage-7b,stage-7b,dauphine,1983-06-06,50,33000,,,621,1983
dauphine/1984/prologue,prologue,dauphine,1984-05-28,50,3300,,,529,1984
dauphine/1984/stage-1a,stage-1a,dauphine,1984-05-29,50,102000,,,529,1984
dauphine/1984/stage-1b,stage-1b,dauphine,1984-05-29,50,83000,,,529,1984
dauphine/1984/stage-2,stage-2,dauphine,1984-05-30,50,202000,,,529,1984
dauphine/1984/stage-3,stage-3,dauphine,1984-05-31,50,216000,,,529,1984
dauphine/1984/stage-4,stage-4,dauphine,1984-06-01,50,192000,,,529,1984
dauphine/1984/stage-5,stage-5,dauphine,1984-06-02,50,154000,,,529,1984
dauphine/1984/stage-6,stage-6,dauphine,1984-06-03,50,178500,,,529,1984
dauphine/1984/stage-7a,stage-7a,dauphine,1984-06-04,50,104000,,,529,1984
dauphine/1984/stage-7b,stage-7b,dauphine,1984-06-04,50,32000,,,529,1984
dauphine/1987/prologue,prologue,dauphine,1987-05-25,50,3000,,,505,1987
dauphine/1987/stage-1,stage-1,dauphine,1987-05-26,50,202000,,,505,1987
dauphine/1987/stage-3b,stage-3b,dauphine,1987-05-28,50,32000,,,505,1987
dauphine/1989/prologue,prologue,dauphine,1989-05-29,50,5000,,,603,1989
dauphine/1989/stage-1,stage-1,dauphine,1989-05-30,50,186000,,,603,1989
dauphine/1989/stage-2,stage-2,dauphine,1989-05-31,50,186000,,,603,1989
dauphine/1989/stage-3,stage-3,dauphine,1989-06-01,50,183500,,,603,1989
dauphine/1989/stage-4,stage-4,dauphine,1989-06-02,50,155700,,,603,1989
dauphine/1989/stage-5,stage-5,dauphine,1989-06-03,50,230000,,,603,1989
dauphine/1989/stage-6a,stage-6a,dauphine,1989-06-04,50,84500,,,603,1989
dauphine/1989/stage-6b,stage-6b,dauphine,1989-06-04,50,30000,,,603,1989
dauphine/1989/stage-7,stage-7,dauphine,1989-06-05,50,163000,,,603,1989
dauphine/1990/stage-1,stage-1,dauphine,1990-05-30,50,139000,,,637,1990
dauphine/1990/stage-2,stage-2,dauphine,1990-05-31,50,183900,,,637,1990
dauphine/1990/stage-3,stage-3,dauphine,1990-06-01,50,171000,,,637,1990
dauphine/1990/stage-4,stage-4,dauphine,1990-06-02,50,183000,,,637,1990
dauphine/1990/stage-5,stage-5,dauphine,1990-06-03,50,196000,,,637,1990
