_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
theo-smit,Theo  Smit,1951.0,,Netherlands,39.183673469387756,98,,Europe
andrew-fenn,Andrew  Fenn,1990.0,186.0,Great Britain,55.745098039215684,51,22.835009827725745,Europe
jeffry-romero,Jeffry  Romero,1989.0,176.0,Colombia,74.04347826086956,23,17.75568181818182,South America
luigi-sestili,Luigi  Sestili,1983.0,,Italy,46.74576271186441,59,,Europe
iban-herrero-atienzar,Ivan  Herrero,1974.0,,Spain,66.91111111111111,45,,Europe
remigius-lupeikis,Remigius  Lupeikis,1964.0,182.0,Lithuania,68.00970873786407,103,24.151672503320853,Europe
jules-bruessing,Jules  Bruessing,1949.0,,Netherlands,87.94814814814815,135,,Europe
theo-eltink,Theo  Eltink,1981.0,,Netherlands,64.24193548387096,62,,Europe
willy-vigouroux,Willy  Vigouroux,1956.0,,Belgium,23.627906976744185,43,,Europe
jens-wallays,Jens  Wallays,1992.0,176.0,Belgium,65.04347826086956,23,20.66115702479339,Europe
mads-pedersen,Mads  Pedersen,1995.0,180.0,Denmark,29.10576923076923,104,21.604938271604937,Europe
jose-herrada,José  Herrada,1985.0,175.0,Spain,43.10144927536232,69,21.224489795918366,Europe
idar-andersen,Idar  Andersen,1999.0,182.0,Norway,36.604166666666664,48,20.589300809081028,Europe
sylvain-moniquet,Sylvain  Moniquet,1998.0,175.0,Belgium,67.42105263157895,19,19.918367346938776,Europe
pedro-miguel-lopes,Pedro Miguel  Lopes,1999.0,180.0,Portugal,58.82666666666667,75,20.98765432098765,Europe
adriano-baffi,Adriano  Baffi,1962.0,176.0,Italy,41.333333333333336,30,22.59814049586777,Europe
thibau-nys,Thibau  Nys,2002.0,176.0,Belgium,25.06741573033708,178,20.66115702479339,Europe
gert-steegmans,Gert  Steegmans,1980.0,190.0,Belgium,56.17669172932331,266,22.714681440443215,Europe
marco-haller,Marco  Haller,1991.0,178.0,Austria,59.018957345971565,211,22.724403484408533,Europe
matthew-holmes,Matthew  Holmes,1993.0,178.0,Great Britain,69.91176470588235,34,21.146319909102385,Europe
moreno-hofland,Moreno  Hofland,1991.0,179.0,Netherlands,71.17241379310344,58,22.15910864205237,Europe
venancio-teran,Venancio  Teran,1961.0,,France,47.203125,64,,Europe
jos-van-emden,Jos van Emden,1985.0,186.0,Netherlands,74.47826086956522,23,22.54595907041276,Europe
michael-matthews,Michael  Matthews,1990.0,178.0,Australia,42.13084112149533,107,22.724403484408533,Oceania
juan-ayuso-pesquera,Juan  Ayuso,2002.0,183.0,Spain,56.625,16,19.409358296754156,Europe
jorge-azanza,Jorge  Azanza,1982.0,185.0,Spain,59.1764705882353,34,19.86851716581446,Europe
valentin-dorronsoro,Valentin  Dorronsoro,1959.0,,Spain,84.1470588235294,68,,Europe
eddy-verstraeten,Eddy  Verstraeten,1948.0,,Belgium,43.17142857142857,35,,Europe
peter-mazur,Peter  Mazur,1982.0,177.0,Poland,69.36538461538461,104,23.301094832264035,Europe
paulo-jose-dos-santos-ferreira,Paulo José dos Santos  Ferreira,1962.0,,Portugal,65.24242424242425,33,,Europe
wim-omloop,Wim  Omloop,1971.0,,Belgium,50.09375,64,,Europe
sascha-henrix,Sascha  Henrix,1973.0,,Germany,56.1,30,,Europe
manuele-tarozzi,Manuele  Tarozzi,1998.0,,Italy,65.33333333333333,21,,Europe
einer-rubio,Einer  Rubio,1998.0,164.0,Colombia,53.64238410596027,151,20.820939916716245,South America
roy-knickman,Roy  Knickman,1965.0,,United States,52.82142857142857,28,,North America
alberto-minetti,Alberto  Minetti,1957.0,181.0,Italy,53.06060606060606,33,21.06162815542871,Europe
luigi-della-bianca,Luigi Della Bianca,1972.0,,Italy,12.01388888888889,144,,Europe
jannes-slendebroek,Jannes  Slendebroek,1959.0,,Netherlands,71.39047619047619,105,,Europe
primoz-cerin,Primož  Čerin,1962.0,,Yugoslavia,41.01219512195122,82,,Europe
santiago-perez,Santiago  Pérez,1977.0,179.0,Spain,71.32967032967034,91,19.038107424861895,Europe
