birth_year,BMI,nationality,Cluster
1972.1414538310412,21.89186079529171,Italy,0
1951.0496894409937,22.64713747064187,Belgium,1
1992.9389671361503,19.23933873995974,Spain,2
1994.3256198347108,20.815342716451195,France,3
1979.1131498470947,20.393199474702747,Spain,4
1989.9087837837837,22.122687646547096,Belgium,5
1983.1604278074867,23.88981528400198,Belgium,6
